Rxn #,Reactant,,,Product,,,K1,X1,K2,X2,K3,X3,K4,X4,K5,X5,K6,X6, X not =,Source 1,Note 1,Source 2,Note 2,Source 3,Note 3,Source 4,Note 4,Source 5,Note 5,Source 6,Note 6
30,OH-(H2O),H2O,X,OH-(H2O)2,X,,3.5E-28,,,,,,,,,,,,,Fehsenfeld et al. (1974),A,,,,,,,,,,
31,OH-(H2O)2,X,,OH-(H2O),H2O,X,1E-14,,,,,,,,,,,,,Calculated from (30) and Arshadi et al. (1970),,,,,,,,,,,
32,OH-(H2O)2,CO2,,HCO3-(H2O),H2O,,6E-10,,,,,,,,,,,,,Fehsenfeld et al. (1974),,,,,,,,,,,
33,O2-(H2O)3,H2O,X,O2-(H2O)4,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
34,O2-(H2O)4,H2O,X,O2-(H2O)5,X,,5E-29,,,,,,,,,,,,,Estimated,,,,,,,,,,,
35,O2-(H2O)3,X,,O2-(H2O)2,X,H2O,3E-13,,,,,,,,,,,,,Calculated from (22) and Paysant et al. (1972),,,,,,,,,,,
36,O2-(H2O)3,CO2,,CO4-(H2O)2,X,H2O,1E-14,,,,,,,,,,,,,Estimated,,,,,,,,,,,
37,O2-(H2O)4,X,,O2-(H2O)3,X,H2O,1.2E-12,,,,,,,,,,,,,Calculated from (33) and Kebarle et al. (1968),,,,,,,,,,,
38,O2-(H2O)5,X,,O2-(H2O)4,X,H2O,4.5E-12,,,,,,,,,,,,,Calculated from (34) and Kebarle et al. (1968),,,,,,,,,,,
39,CO4-(H2O),H2O,X,CO4-(H2O)2,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
40,CO4-(H2O)2,H2O,X,CO4-(H2O)3,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
41,CO4-(H2O),X,,CO4-,H2O,X,1E-14,,,,,,,,,,,,,Presumed from Mohnen (1974),,,,,,,,,,,
42,CO4-(H2O),H2O,,O2-(H2O)2,CO2,,1E-10,,,,,,,,,,,,,Presumed value from Ferguson (1974),,,,,,,,,,,
43,CO4-(H2O)2,X,,CO4-(H2O),H2O,X,1E-13,,,,,,,,,,,,,Presumed value from Mohnen (1974),,,,,,,,,,,
44,CO4-(H2O)2,H2O,,O2-(H2O)3,CO2,,1E-10,,,,,,,,,,,,,Presumed from Mohnen (1974),,,,,,,,,,,
45,CO4-(H2O)3,X,,CO4-(H2O)2,H2O,X,1E-12,,,,,,,,,,,,,Presumed from Mohnen (1974),,,,,,,,,,,
46,OH-(H2O)2,H2O,X,OH-(H2O)3,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
47,OH-(H2O)3,H2O,X,OH-(H2O)4,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
48,OH-(H2O)4,H2O,X,OH-(H2O)5,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
49,OH-(H2O)3,X,,OH-(H2O)2,H2O,X,1.6E-14,,,,,,,,,,,,,Calculated from (46) and Arshadi et al. (1970),,,,,,,,,,,
50,OH-(H2O)4,X,,OH-(H2O)3,X,H2O,4E-13,,,,,,,,,,,,,Calculated from (47) and Arshadi et al. (1970),,,,,,,,,,,
51,OH-(H2O)5,X,,OH-(H2O)4,X,H2O,3.2E-12,,,,,,,,,,,,,Calculated from (48) and Arshadi et al. (1970),,,,,,,,,,,
52,O3-(H2O),H2O,X,O3-(H2O)2,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
53,O3-(H2O)2,X,,O3-(H2O),H2O,X,7E-14,,,,,,,,,,,,,Calculated from (52) and Fehsenfeld et al. (1974),,,,,,,,,,,
54,O3-(H2O)2,H2O,X,O3-(H2O)3,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
55,O3-(H2O)3,X,,O3-(H2O)2,H2O,X,1E-12,,,,,,,,,,,,,Calculated from (54) and Fehsenfeld et al. (1974),,,,,,,,,,,
56,O3-(H2O)3,CO2,,CO3-(H2O)2,H2O,O2,5E-11,,,,,,,,,,,,,Estimated,,,,,,,,,,,
57,O3-(H2O)3,H2O,M,O3-(H2O)4,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
58,O3-(H2O)4,X,,O3-(H2O)3,X,H2O,6E-12,,,,,,,,,,,,,Estimated,,,,,,,,,,,
59,O3-(H2O)4,H2O,X,O3-(H2O)5,X,,5E-29,,,,,,,,,,,,,Estimated,,,,,,,,,,,
60,O3-(H2O)5,X,,O3-(H2O)4,X,H2O,1E-11,,,,,,,,,,,,,Estimated,,,,,,,,,,,
61,OH-(H2O)3,CO2,,HCO3-(H2O)2,H2O,,6E-10,,,,,,,,,,,,,Fehsenfeld et al (1974),,,,,,,,,,,
62,OH-(H2O)4,CO2,,HCO3-(H2O)3,H2O,,6E-10,,,,,,,,,,,,,Fehsenfeld et al (1974),,,,,,,,,,,
63,CO3-(H2O),H2O,X,CO3-(H2O)2,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
64,CO3-(H2O),X,,CO3-,H2O,X,3.5E-14,,,,,,,,,,,,,Calculated from (16) and Fehsenfeld et al. (1974),,,,,,,,,,,
65,CO3-(H2O)2,X,,CO3-(H2O),H2O,X,1.75E-12,,,,,,,,,,,,,Calculated from (63) and Fehsenfeld et al. (1974),,,,,,,,,,,
66,CO3-(H2O)2,H2O,X,CO3-(H2O)3,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
67,CO3-(H2O)3,X,,CO3-(H2O)2,H2O,X,5E-12,,,,,,,,,,,,,Estimated,,,,,,,,,,,
68,CO3-(H2O)3,H2O,X,CO3-(H2O)4,X,,5E-29,,,,,,,,,,,,,Estimated,,,,,,,,,,,
69,CO3-(H2O)4,X,,CO3-(H2O)3,H2O,X,1E-11,,,,,,,,,,,,,Estimated,,,,,,,,,,,
70,HCO3-,H2O,X,HCO3-(H2O),X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
71,HCO3-(H2O),H2O,X,HCO3-(H2O)2,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
72,HCO3-(H2O)2,H2O,X,HCO3-(H2O)3,X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
73,HCO3-(H2O)2,X,,HCO3-(H2O),X,H2O,1.6E-14,,,,,,,,,,,,,Estimated,,,,,,,,,,,
74,HCO3-(H2O)3,X,,HCO3-(H2O)2,X,H2O,4E-13,,,,,,,,,,,,,Estimated,,,,,,,,,,,
75,e-,O2,X,O2-,X,,1.9E-30,O2,1.0E-31,N2,1.4E-29,H2O,3.3E-30,CO2,6.1E-31,,4.9E-31,,,Pack et al (1966a),,Chanin et al. (1962),,Pack et al. (1966b),,Pack et al. (1966b),,Air with 1% H2O,C,Air with 0.1% H2O,C
