varname,printname,mpi-mainz-uvviz,long-name,
RI15NO3,RI_{15}NO_3,,,
RI24NO3,RI_{24}NO_3,,,
RE2NO3,RE_2NO_3,,,
RE5NO3,RE_5NO_3,,,
RT28NO3,RT_{28}NO_3,,,
RN10OOH,RN_{10}OOH,,,
IC3H7OOH,iC_3H_7OOH,,,
RN13OOH,RN_{13}OOH,,,
RN16OOH,RN_{16}OOH,,,
RN19OOH,RN_{19}OOH,,,
RN22OOH,RN_{22}OOH,,,
RN25OOH,RN_{25}OOH,,,
RN28OOH,RN_{28}OOH,,,
RN31OOH,RN_{31}OOH,,,
RN34OOH,RN_{34}OOH,,,
RN37OOH,RN_{37}OOH,,,
RI13OOH,RI_{13}OOH,,,
RI16OOH,RI_{16}OOH,,,
MeCO3H,CH_3CO_3H,,,
RN8OOH,RN_8OOH,,,
RN11OOH,RN_{11}OOH,,,
RN14OOH,RN_{14}OOH,,,
RN17OOH,RN_{17}OOH,,,
HOC2H4OOH,HOC_2H_4OOH,,,
RN9OOH,RN_9OOH,,,
RN12OOH,RN_{12}OOH,,,
RN15OOH,RN_{15}OOH,,,
RN18OOH,RN_{18}OOH,,,
RN21OOH,RN_{21}OOH,,,
RN24OOH,RN_{24}OOH,,,
RN27OOH,RN_{27}OOH,,,
RN30OOH,RN_{30}OOH,,,
RI12OOH,RI_{12}OOH,,,
RI15OOH,RI_{15}OOH,,,
RI24OOH,RI_{24}OOH,,,
RE2OOH,RE_2OOH,,,
RE5OOH,RE_5OOH,,,
RT28OOH,RT_{28}OOH,,,
NRN6OOH,NRN_6OOH,,,
NRN9OOH,NRN_9OOH,,,
NRN12OOH,NRN_{12}OOH,,,
NRN15OOH,NRN_{15}OOH,,,
NRN18OOH,NRN_{18}OOH,,,
NRI12OOH,NRI_{12}OOH,,,
NRI15OOH,NRI_{15}OOH,,,
NRN11OOH,NRN_{11}OOH,,,
NRN14OOH,NRN_{14}OOH,,,
NRT28OOH,NRT_{28}OOH,,,
PAN,PAN,,,
APINENE,aPinene,,,
BPINENE,bPinene,,,
NA,NA,,,
SO2,SO2,,,
SO3,SO3,,,
HSO3,HSO3,,,
SA,SA,,,
RN10O2,RN10O2,,,
CH3OCH3,CH3OCH3,,,
C2H6,C2H6,,,
C2H5O2,C2H5O2,,,
C3H8,C3H8,,,
IC3H7O2,IC3H7O2,,,
NC4H10,NC4H10,,,
RN13O2,RN13O2,,,
NC5H12,NC5H12,,,
RN16O2,RN16O2,,,
NC6H14,NC6H14,,,
RN19O2,RN19O2,,,
NC7H16,NC7H16,,,
RN22O2,RN22O2,,,
NC8H18,NC8H18,,,
RN25O2,RN25O2,,,
NC9H20,NC9H20,,,
RN28O2,RN28O2,,,
