is_integrated,varname,printname,mpi-mainz-uvviz,long-name,CASRN
1,MPRK,2-pentanone,CH3C(O)C3H7,2-Pentanone,107-87-9
1,DIEK,diethylketone,C2H5C(O)C2H5,Diethyl Ketone,96-22-0
1,MIPK,3-methylbutanone,CH3C(O)CH(CH3)2,Methyl Isopropyl Ketone,563-80-4
1,HEX2ONE,hex2one,CH3C(O)C4H9,2-hexanone,591-78-6
1,HEX3ONE,hex3one,C2H5C(O)C3H7,3-hexanone,589-38-8
1,MIBK,4-methylpentan2one,CH3C(O)CH2CH(CH3)2,Methyl Isobutyl Ketone,0108-10-01
1,MTBK,"3,3-dimethylbutan2one",,,
1,CYHEXONE,cyclohexanone,c-C6H10O,Cyclohexanone,108-94-1
1,RN17O2,RN_{17}O_2,,,
1,EtOH,C_2H_5OH,C2H5OH,Ethanol,64-17-5
1,NPROPOL,n-propanol,n-C3H7OH,n-Propyl Alcohol,71-23-8
1,IPROPOL,i-propanol,"i-C3H7OH,(CH3)2CHOH",Isopropyl Alcohol,67-63-0
1,NBUTOL,n-butanol,n-C4H9OH,n-Butanol,71-36-3
1,BUT2OL,butan2ol,CH3CH(OH)CH2CH3,2-Butanol,78-92-2
1,IBUTOL,i-butanol,,,
1,TBUTOL,t-butanol,,,
1,PECOH,pentan3ol,,,
1,IPEAOH,2-methylbutan1ol,,,
1,ME3BUOL,3-methylbutan1ol,,,
1,IPECOH,2-methylbutan2ol,,,
1,IPEBOH,3-methylbutan2ol,,,
1,CYHEXOL,cyclohexanol,C6H11OH,Cyclohexanol,108-93-0
1,MIBKAOH,diacetone-alcohol,(CH3)2C(OH)CH2C(O)CH3,Diacetone Alcohol,123-42-2
1,ETHGLY,ethane-diol,,,
1,PROPGLY,"1,2-propane-diol",,,
1,CH3OCHO,CH_3OCHO,HC(O)OCH3,Methyl Formate,107-31-3
1,DIETETHER,diethylether,C2H5OC2H5,Diethyl Ether,60-29-7
1,RE5O2,RE_5O_2,,,
1,FM1,FM1,,,
1,MTBE,methyl-t-butylether,,,
1,FM2,FM2,,,
1,DIIPRETHER,di-isopropylether,,,
1,ETBE,ethyl-tbutylether,,,
1,MO2EOL,2-methoxyethanol,,,
1,EOX2EOL,2-ethoxyethanol,,,
1,PR2OHMOX,2-methoxypropanol,,,
1,BUOX2ETOH,2-butoxyethanol,,,
1,BOX2PROL,2-butoxypropanol,,,
1,METHACET,methylacetate,,,
1,ETHACET,ethylacetate,CH3C(O)OC2H5,Ethyl Acetate,141-78-6
1,NPROACET,n-propylacetate,,,
1,IPROACET,i-propylacetate,,,
1,NBUTACET,n-butylacetate,,,
1,SBUTACET,2-butylacetate,,,
1,TBUACET,t-butylacetate,,,
1,PROPACID,propanoic acid,C2H5C(O)OH,Propanoic acid,1979-09-04
1,DMM,dimethoxymethane,CH2(OCH3)2,Dimethoxymethane,109-87-5
1,DMC,dimethoxycarbonate,,,
1,CH3Cl,CH_3Cl,CH3Cl,Chloromethane,74-87-3
1,CH2Cl2,CH_2Cl_2,CH2Cl2,Dichloromethane,1975-09-02
1,CHCl3,CHCl_3,CHCl3,Trichloromethane,67-66-3
1,CH3CCl3,CH_3CCl_3,CH3CCl3,"1,1,1-trichloroethane",71-55-6
1,TCE,C_2Cl_4,CCl2=CCl2,Tetrachloroethene,127-18-4
1,TRIClETH,C_2HCl_3,CHCl=CCl2,Trichloroethene,1979-01-06
1,CDIClETH,c-C_2H_2Cl_2,,,
1,TDIClETH,t-C_2H_2Cl_2,,,
1,EtONO2,C_2H_5NO_3,,,
1,RN10NO3,RN_{10}NO_3,,,
