 wavelength bands (cm-1) 
        Center WL       Start WL       Stop WL
    47259.0        47505.9        47003.5    
    46750.8        47003.5        46500.8    
    46253.5        46500.8        45998.2    
    45745.7        45998.2        45495.9    
    45248.9        45495.9        44994.4    
    44742.7        44994.4        44493.9    
    44247.8        44493.9        43994.7    
    43744.5        43994.7        43497.2    
    43252.6        43497.2        43001.5    
    42753.3        43001.5        42498.9    
    42247.6        42498.9        41999.2    
    41753.7        41999.2        41502.4    
    41254.1        41502.4        41000.4    
    40749.8        41000.4        40494.0    
    40241.4        40494.0        39992.0    
    39745.6        39992.0        39494.5    
    39246.5        39494.5        38994.0    
    38744.7        38994.0        38498.6    
    38255.5        38498.6        38001.1    
    37750.1        38001.1        37495.3    
    37243.9        37495.3        36995.9    
    36751.2        36995.9        36496.4    
    36245.0        36496.4        35997.1    
    35752.6        35997.1        35498.8    
    35248.5        35498.8        34995.6    
    34746.4        34995.6        34494.7    
    34246.6        34494.7        33996.3    
    33749.6        33996.3        33495.2    
    33244.7        33495.2        32997.9    
    32754.7        32997.9        32504.5    
    32258.1        32504.5        32000.0    
    31746.0        32000.0        31496.1    
    31250.0        31496.1        31007.8    
    30769.2        31007.8        30534.4    
    30303.0        30534.4        30075.2    
    29850.7        30075.2        29629.6    
    29411.8        29629.6        29197.1    
    28985.5        29197.1        28777.0    
    28571.4        28777.0        28368.8    
    28169.0        28368.8        27972.0    
    27777.8        27972.0        27586.2    
    27397.3        27586.2        27210.9    
    27027.0        27210.9        26845.6    
    26666.7        26845.6        26490.1    
    26315.8        26490.1        26143.8    
    25974.0        26143.8        25806.5    
    25641.0        25806.5        25477.7    
    25316.5        25477.7        25157.2    
    25000.0        25157.2        24844.7    
    24691.4        24844.7        24539.9    
    24390.2        24539.9        24242.4    
    24096.4        24242.4        23952.1    
    23809.5        23952.1        23668.6    
    23529.4        23668.6        23391.8    
    23255.8        23391.8        23121.4    
    22988.5        23121.4        22857.1    
    22727.3        22857.1        22598.9    
    22471.9        22598.9        22346.4    
    22222.2        22346.4        22099.4    
    21978.0        22099.4        21857.9    
    21739.1        21857.9        21621.6    
    21505.4        21621.6        21390.4    
    21276.6        21390.4        21164.0    
    21052.6        21164.0        20942.4    
    20833.3        20942.4        20725.4    
    20618.6        20725.4        20512.8    
    20408.2        20512.8        20304.6    
    20202.0        20304.6        20100.5    
    20000.0        20100.5        19900.5    
    19802.0        19900.5        19704.4    
    19607.8        19704.4        19512.2    
    19417.5        19512.2        19323.7    
    19230.8        19323.7        19138.8    
    19047.6        19138.8        18957.3    
    18867.9        18957.3        18779.3    
    18691.6        18779.3        18604.7    
    18518.5        18604.7        18433.2    
    18348.6        18433.2        18264.8    
    18181.8        18264.8        18099.5    
    18018.0        18099.5        17937.2    
    17857.1        17937.2        17777.8    
    17699.1        17777.8        17621.1    
    17543.9        17621.1        17467.2    
    17391.3        17467.2        17316.0    
    17241.4        17316.0        17167.4    
    17094.0        17167.4        17021.3    
    16949.2        17021.3        16877.6    
    16806.7        16877.6        16736.4    
    16666.7        16736.4        16597.5    
    16528.9        16597.5        16460.9    
    16393.4        16460.9        16326.5    
    16260.2        16326.5        16194.3    
    16129.0        16194.3        16064.3    
    16000.0        16064.3        15936.3    
    15873.0        15936.3        15810.3    
    15748.0        15810.3        15686.3    
    15625.0        15686.3        15564.2    
    15503.9        15564.2        15444.0    
    15384.6        15444.0        15325.7    
    15267.2        15325.7        15209.1    
    15151.5        15209.1        15094.3    
    15037.6        15094.3        14981.3    
    14925.4        14981.3        14869.9    
    14814.8        14869.9        14760.1    
    14705.9        14760.1        14652.0    
    14598.5        14652.0        14545.5    
    14492.8        14545.5        14440.4    
    14388.5        14440.4        14336.9    
    14285.7        14336.9        14234.9    
    14184.4        14234.9        14134.3    
    14084.5        14134.3        14035.1    
    13986.0        14035.1        13937.3    
    13888.9        13937.3        13840.8    
    13793.1        13840.8        13745.7    
    13698.6        13745.7        13651.9    
    13605.4        13651.9        13559.3    
    13513.5        13559.3        13468.0    
    13422.8        13468.0        13377.9    
    13333.3        13377.9        13289.0    
    13245.0        13289.0        13201.3    
    13157.9        13201.3        13114.8    
    13071.9        13114.8        13029.3    
    12987.0        13029.3        12945.0    
    12903.2        12945.0        12861.7    
    12820.5        12861.7        12779.6    
    12738.9        12779.6        12698.4    
    12658.2        12698.4        12618.3    
    12578.6        12618.3        12539.2    
    12500.0        12539.2        12461.1    
    12422.4        12461.1        12383.9    
    12345.7        12383.9        12307.7    
    12269.9        12307.7        12232.4    
    12195.1        12232.4        12158.1    
    12121.2        12158.1        12084.6    
    12048.2        12084.6        12012.0    
    11976.0        12012.0        11940.3    
    11904.8        11940.3        11869.4    
    11834.3        11869.4        11799.4    
    11764.7        11799.4        11730.2    
