idx,Source,Reactants,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,contains_OH,contains_HONO2,contains_CO,all_reactants_HO2
R85,NB,HONO,,OH,NO,,,1,1,,,5.50E+12,0,0,0,-24155,TRUE,FALSE,FALSE,FALSE
R86,D7,HO2,NO2,HONO ,O2,,,1,1,,,1.20E-13,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R87,NB,H2,NO2,H,HONO ,,,1,1,,,3.98E-11,0,0,0,-14590,FALSE,FALSE,FALSE,FALSE
R88,NB,H2O2,NO2,OH,HONO2,,,1,1,,,1.00E-18,0,0,0,0,TRUE,TRUE,FALSE,FALSE
R89,NB,CH2OH,H2O2,CH3OH,HO2,,,1,1,,,5.00E-15,0,0,0,-1300,FALSE,FALSE,FALSE,FALSE
R133,A9,O(1D),N2,O,N2,,,1,1,,,1.80E-11,0,0,0,107,FALSE,FALSE,FALSE,FALSE
R134,A9,O(1D),O2,O,O2,,,1,1,,,3.20E-11,0,0,0,67,FALSE,FALSE,FALSE,FALSE
R135,A9,O(1D),H2O,OH,OH,,,1,1,,,2.20E-10,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R136,A9,O(1D),H2O,O,H2O,,,1,1,,,1.20E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R137,A9,O(1D),H2O,H2,O2,,,1,1,,,2.30E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R138,A9,O(1D),O3,O2,O2,,,1,1,,,1.20E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R139,A9,O(1D),O3,O2,O,O,,1,1,1,,1.20E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R140,H4,O,O3,O2(1D),O2,,,1,1,,,1.31E-12,0,0,0,-2149.2,FALSE,FALSE,FALSE,FALSE
R141,H4,O2(1D),O3,O2,O2,O,,1,1,1,,4.50E-11,0,0,0,-2800,FALSE,FALSE,FALSE,FALSE
R142,H4,O2(1D),N,O2,N,,,1,1,,,3.00E-15,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R143,H4,O2(1D),O,O2,O,,,1,1,,,1.00E-16,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R144,H4,O2(1D),N2,O2,N2,,,1,1,,,2.10E-15,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R145,H4,O2(1D),O2,O2,O2,,,1,1,,,2.40E-18,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R146,MP,O2(1D),O2-,O2,O2,e,,1,1,1,,2.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R147,VE,O2(1D),O-,O3,e,,,1,1,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R149,H4,N(2D),N2,N,N2,,,1,1,,,1.60E-14,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R150,B7,N(2D),NO,N2,O,,,1,1,,,6.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R151,H4,N(2D),NO,NO,N,,,1,1,,,6.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R152,H4,N(2D),N2O,NO,N2,,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R153,MP,N2,e,N2(S),e,,,1,1,,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R154,MP,N2(S),O(1D),NO,N,,,1,1,,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R155,MP,N2(S),O2,N2,O2,,,1,1,,,3.80E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R156,VE,N2(S),O+,NO+,N,,,1,1,,,2.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R159,NB,COF2,O(1D),CO2,F,F,,1,1,1,,2.10E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
