   INTERVAL        nm        cm-1  Irradiance
        197     820.0     12195.1   0.218E+16
        198     825.0     12121.2   0.220E+16
        199     830.0     12048.2   0.214E+16
        200     835.0     11976.0   0.214E+16
        201     840.0     11904.8   0.213E+16
        202     845.0     11834.3   0.209E+16
        203     850.0     11764.7   0.205E+16


For intervals 1-45 Ackerman.

For intervals 45-61, Nicolet et al. (1989) Planet. Space. Sci., Vol. 37, No. 4,
pp. 427-458.

For intervals 62-203, WMO Report No. 16, Vol. 1, pp. 355-362, (1985).

Except for intervals 93-97, Nicolet et al., Planet. Space. Sci., Vol. 30, No. 9,
pp. 935-983, (1982).
